"Alue,""Paaasiallinen toiminta"",""Sukupuoli"",""Vaesto yhteensa 2021"",""15-64-vuotiaat yhteensa 2021"",""0-14-vuotiaat 2021"",""15-29-vuotiaat 2021"",""30-44-vuotiaat 2021"",""45-59-vuotiaat 2021"",""Yli 60-vuotiaat 2021"""
"091 70 Ullanlinna,""Elakelaiset ja muut"",""Yhteensa"",2531,665,0,119,187,217,2008"
"091 70 Ullanlinna,""Elakelaiset ja muut"",""Miehet"",1026,-1,0,-1,-1,104,781"
"091 70 Ullanlinna,""Elakelaiset ja muut"",""Naiset"",1505,-1,0,-1,-1,113,1227"
"091 90 Kaivopuisto,""Koko vaesto"",""Yhteensa"",465,272,53,63,71,93,185"
"091 90 Kaivopuisto,""Koko vaesto"",""Miehet"",227,126,27,31,32,43,94"
"091 90 Kaivopuisto,""Koko vaesto"",""Naiset"",238,146,26,32,39,50,91"
"091 90 Kaivopuisto,""Tyovoima"",""Yhteensa"",188,182,0,24,51,79,34"
"091 90 Kaivopuisto,""Tyovoima"",""Miehet"",92,-1,0,-1,-1,-1,-1"
"091 90 Kaivopuisto,""Tyovoima"",""Naiset"",96,-1,0,-1,24,41,-1"
"091 90 Kaivopuisto,""Tyolliset"",""Yhteensa"",178,172,0,22,50,75,31"
"091 90 Kaivopuisto,""Tyolliset"",""Miehet"",88,-1,0,-1,-1,-1,-1"
"091 90 Kaivopuisto,""Tyolliset"",""Naiset"",90,-1,0,-1,23,38,-1"
"091 90 Kaivopuisto,""Tyottomat"",""Yhteensa"",10,10,0,-1,-1,-1,-1"
"091 90 Kaivopuisto,""Tyottomat"",""Miehet"",-1,-1,0,-1,0,-1,-1"
"091 90 Kaivopuisto,""Tyottomat"",""Naiset"",-1,-1,0,-1,-1,-1,-1"
"091 90 Kaivopuisto,""Tyovoiman ulkopuolella olevat"",""Yhteensa"",277,90,53,39,20,14,151"
"091 90 Kaivopuisto,""Tyovoiman ulkopuolella olevat"",""Miehet"",135,-1,27,-1,-1,-1,77"
"091 90 Kaivopuisto,""Tyovoiman ulkopuolella olevat"",""Naiset"",142,-1,26,-1,-1,-1,74"
"091 90 Kaivopuisto,""0-14-vuotiaat"",""Yhteensa"",53,0,53,0,0,0,0"
"091 90 Kaivopuisto,""0-14-vuotiaat"",""Miehet"",27,0,27,0,0,0,0"
"091 90 Kaivopuisto,""0-14-vuotiaat"",""Naiset"",26,0,26,0,0,0,0"
"091 90 Kaivopuisto,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Yhteensa"",39,-1,0,-1,-1,-1,-1"
"091 90 Kaivopuisto,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Miehet"",-1,-1,0,-1,0,0,0"
"091 90 Kaivopuisto,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Naiset"",22,-1,0,-1,-1,-1,-1"
"091 90 Kaivopuisto,""Elakelaiset ja muut"",""Yhteensa"",185,52,0,-1,17,12,149"
"091 90 Kaivopuisto,""Elakelaiset ja muut"",""Miehet"",91,-1,0,-1,-1,-1,-1"
"091 90 Kaivopuisto,""Elakelaiset ja muut"",""Naiset"",94,-1,0,-1,-1,-1,-1"
"091 204 Hernesaari,""Koko vaesto"",""Yhteensa"",1181,874,105,275,276,238,287"
"091 204 Hernesaari,""Koko vaesto"",""Miehet"",579,434,53,125,144,121,136"
"091 204 Hernesaari,""Koko vaesto"",""Naiset"",602,440,52,150,132,117,151"
"091 204 Hernesaari,""Tyovoima"",""Yhteensa"",731,714,0,198,241,207,85"
"091 204 Hernesaari,""Tyovoima"",""Miehet"",361,-1,0,-1,129,103,44"
